station_id,name,short_name,latitude,longitude,capacity
66dd80ac-0aca-11e7-82f6-3863bb44ef7c,Newark Ave,JC032,40.72152515,-74.046304543,22
2108372356498784942,Garfield Light Rail,JC119,40.710526,-74.070112,16
2206771530409556572,63 Ave & 99 St,5870.05,40.73302,-73.85714,18
2177016530523622712,Post Rd & W 251 St,8998.03,40.89561,-73.89793,12
b9deb521-41b6-4f8a-ac78-0e58e3977f2c,Stuyvesant Ave & Hart St,4689.08,40.69465,-73.9343,27
ab5c5ee6-9c4e-4aaa-a14e-d236d3e01d9a,43 Ave & 42 St,6251.06,40.745346825809833,-73.9219419658184,24
8b1222da-612f-4482-ab34-9467c4ed28e3,E 135 St & St Ann's Ave,7687.05,40.805089,-73.918889,23
1913988158376585970,Shea Rd & Boat Basin Pl,6633.01,40.75777,-73.84887,29
d7c12bf1-1ec8-496a-beca-90ba76c53241,48 St & Barnett Ave,6358.05,40.750016404259327,-73.915409445762634,18
f417d8da-0f15-49b0-9e3c-3c3e55c2691d,11 St & Washington St,HB502,40.749984909071379,-74.027150273323059,24
22cd02a2-228f-4eeb-b249-cbea51a0e219,York St & Marin Blvd,JC097,40.716615000830494,-74.0424120426178,18
66ddd81a-0aca-11e7-82f6-3863bb44ef7c,Lafayette Park,JC078,40.71346382669195,-74.062858521938324,14
d8778570-f7f2-458d-82f5-9ad39210a501,E 5 St & Cooper Sq,5712.12,40.72769,-73.990993,50
1934770108420609000,Fairmount Pl & Prospect Ave,8272.05,40.843099,-73.889927,18
594b4656-9d83-4301-8967-3b92c126531c,3 Ave & E 112 St,7543.15,40.795508,-73.941606,23
30a75e12-5327-48f0-8155-3925aa934054,57 St & 7 Ave,2861.02,40.638566,-74.010147,22
9e99abca-c679-4788-9a4e-39066660bd6a,Crescent St & Ditmars Blvd,7233.05,40.7787185,-73.9145645,19
09b00240-4c2a-4900-9d09-f13344461c02,31 Pl & Hunters Point Ave,6033.01,40.740213568849242,-73.935370445251465,19
d07790cd-1acd-4f74-b5f1-3d70f8a8a526,50 St & Barnett Ave,6435.03,40.750097682094825,-73.913497030735016,25
7e7d974c-a6ec-4d9a-b4ed-01a4d2056d8b,39 Ave & 54 St,6392.02,40.74891,-73.90899,19
272c0389-5e4a-41a9-ad6c-2dccdfa55af9,Madison St & Forest Ave,5025.02,40.70555,-73.90245,25
1797078913880883846,60 Pl & Bleecker St,5138.03,40.71107,-73.903,19
f3f46097-54cf-4c30-805a-6b2a4851eed7,46 St & 25 Ave,6907.03,40.765753,-73.90676,24
7b56cbab-9d93-4043-bfa5-63eb6b3e5281,Wyckoff Ave & Cooper Ave,4615.01,40.69338,-73.90061,19
66ddd78e-0aca-11e7-82f6-3863bb44ef7c,Morris Canal,JC072,40.7124188237569,-74.038525521755219,14
66dd63de-0aca-11e7-82f6-3863bb44ef7c,Heights Elevator,JC059,40.748715945380233,-74.040443301200867,18
0630217a-3913-47d9-9540-cf85688296a5,37 St & 24 Ave,6981.16,40.7701477,-73.9120938,19
a3d72b5b-9587-4f33-9722-c01e20a9b358,Bushwick Ave & Dekalb Ave,4680.05,40.69502,-73.92825,29
9d23b0e9-a478-407c-a0e0-0aff1b0398fc,Forest Ave & Summerfield St,4798.02,40.69922,-73.89795,23
514f3dda-4d08-464c-b2d4-5706d400065a,39 Ave & 45 St,6401.03,40.749478221834771,-73.918264657258973,19
d08be53f-9691-4d6f-81f3-7d052abb7dd6,Albany Ave & Carroll St,3791.02,40.6667,-73.93972,19
66db479e-0aca-11e7-82f6-3863bb44ef7c,Howard St & Lafayette St,5422.04,40.71910537,-73.99973337,39
3ff00115-e8da-4326-97d3-7bf4fe4df7a5,Macon St & Howard Ave,4408.07,40.68452,-73.92011,20
57f144cb-375d-4eee-b458-e288116cb8f7,Bradley Ave & Greenpoint Ave,5917.02,40.735659148192291,-73.934788405895233,21
2177016197335217002,Broadway & W 242 St,8940.01,40.88917,-73.89875,23
fc774664-3c9b-4a8f-a79e-f6907db00a1d,Astoria Park S & Shore Blvd,7159.08,40.7767,-73.927631,33
21c4a77d-b1ae-4262-b143-087fd14a07b8,Clinton St & 7 St,HB303,40.74542,-74.03332,18
655b0878-c22b-4f8c-8675-21bf30d1eebf,Willow Ave & 12 St,HB505,40.7518674823282,-74.030376970767975,15
8ae0bf30-9979-461e-a947-2dd89f293b40,Clinton St & Newark St,HB409,40.73743,-74.03571,14
66ddd8a8-0aca-11e7-82f6-3863bb44ef7c,Brunswick & 6th,JC081,40.726011729646252,-74.050388932228088,14
1828965887815635862,71 St & 37 Ave,6374.05,40.7488,-73.89451,23
5f2766b0-362e-49e5-ab09-05e2c4b6f626,E Mosholu Pkwy & E 204 St,8748.02,40.8740704,-73.8833650931,19
8fa2fafb-fa07-48b2-b159-bffbea7176d4,Seneca Ave & Decatur St,4757.06,40.69723,-73.89811,20
3d339282-d5c7-41ec-b634-6a988aefd440,E 174 St & Longfellow Ave,8144.09,40.836274,-73.884308,20
1860190006584693708,E 187 St & 3 Ave,8489.06,40.85724,-73.8909,19
b79bb851-130f-473d-83fc-f602aa0a4ca9,Adam Clayton Powell Blvd & W 130 St,7774.02,40.812346,-73.946168,22
b4ae292d-5e89-4c58-8154-0496893394b5,Grand Concourse & E 166 St,8092.06,40.83196,-73.91956,24
6107e75a-2493-4e3d-a3e0-d4886d3416e5,Montgomery St,JC099,40.71942,-74.05099,14
66dd650d-0aca-11e7-82f6-3863bb44ef7c,Dey St,JC065,40.737711,-74.066921,18
2165507807810224012,Danforth Ave & JFK Blvd,JC144,40.70056,-74.09474,16
66dd8b48-0aca-11e7-82f6-3863bb44ef7c,5 Corners Library,JC018,40.734961020009521,-74.0595030784607,18
87091002-cc25-452a-b5d9-f8d0c3fce422,Cypress Ave & Palmetto St,4921.04,40.701573408737922,-73.90876293182373,25
1828969323789472168,92 St & Astoria Blvd,6810.01,40.76313,-73.8772,18
1786696384892428996,Monitor St & Meeker Ave,5473.06,40.721226,-73.941845,21
af626e61-9f83-4602-a9b1-038b1c1430e6,Metropolitan Ave & Flushing Ave,5225.04,40.71334,-73.91572,19
36ddce8f-bd83-4a05-b601-b526fb4d8628,Buffalo Ave & St John's Pl,3885.06,40.67015,-73.92538,21
914e3e7c-87da-4f52-aa03-5449c6361fa2,30 Ave & 21 St,6996.01,40.7703743,-73.9286078,15
1846086027713733188,90 St & 51 Ave,6080.07,40.73937,-73.87411,19
3575749f-123a-4a80-870d-7ca7c7f9c8a9,28 Ave & 35 St,6951.03,40.7671,-73.9169858,27
b53b5e8f-9503-48d1-b3e3-9347ecef38e2,Wyckoff Ave & Gates Ave,4847.03,40.699871408829885,-73.911718726158142,36
201edb67-d071-4b67-bafd-131e5c273e9f,Metropolitan Ave & Stewart Ave,5273.01,40.71401,-73.92793,20
3e1bdcec-e762-4e83-b447-007f05923cce,19 St & 24 Ave,7186.15,40.7774552,-73.9225403,23
16e70b05-5b73-4930-9dcf-f79e5ce9eaf5,44 St & 3 Ave,3315.05,40.651173,-74.011405,23
0de1f95f-8b1b-4e5e-9eff-73c63265b0ab,35 St & 30 Ave,6887.03,40.765475692449527,-73.918115794658661,29
dadd2084-d844-46f5-b7a4-128d31eeba8e,Aqueduct Ave & North St,8535.09,40.8604787,-73.9057169936,20
2163290511399492946,Narrows Ave & MacKay Pl,2803.04,40.63692,-74.03449,12
43318169-d1ae-4a1a-9578-23cfa3fdbac9,Church Sq Park - 5 St & Park Ave,HB601,40.742659332731428,-74.032233059406281,21
2108372029596633484,Dr. Lena Edwards Park,JC117,40.713203,-74.058261,12
66dddd28-0aca-11e7-82f6-3863bb44ef7c,Communipaw & Berry Lane,JC084,40.714358368704268,-74.066610932350159,14
66dd5a42-0aca-11e7-82f6-3863bb44ef7c,Warren St,JC006,40.7211236,-74.03805095,22
66ddddb4-0aca-11e7-82f6-3863bb44ef7c,Monmouth & 6th,JC075,40.725685483629007,-74.048790335655212,14
498d7e8e-5164-4f26-9ce6-399947d73b1a,Suydam St & St Nicholas Ave,5043.06,40.70636,-73.91945,17
d7f55e1b-12db-49d1-9cd8-4fb464745841,65 St & Roosevelt Ave,6267.08,40.74589,-73.89915,30
1864606193814670106,Van Cortlandt Park S & Gouverneur Ave,8876.04,40.88492,-73.89084,25
467e1de6-73a6-480f-9e83-fd1b03b71047,Morgan Ave & Maspeth Ave,5354.01,40.716657,-73.93637,25
66dd0808-0aca-11e7-82f6-3863bb44ef7c,Graham Ave & Herbert St,5403.05,40.71929301,-73.94500379,26
